"codpro","nompro","preciopro","stockpro","fechulticompro","preulticompro","coduni","tamanopro","descripro","fotopro","idcatpro","idimp"
"PO10P","Pollo personal hongo chino",275.0000,0,"2001-01-01",,2,"","","",2,3
"PO10PQ","Pollo pequeño hongo chino",200.0000,0,"2001-01-01",,2,"","","",2,3
"PO11F","Pollo familiar vegetal chino",585.0000,,"2001-01-01",,2,"","","",2,3
"PO11N","Pollo normal vegetal chino",450.0000,,"2001-01-01",,2,"","","",2,3
"PO11P","pollo personal vegetal chino",275.0000,0,"2001-01-01",,2,"","","",2,3
"PO11PQ","Pollo pequeño vegetal chino",200.0000,0,"2001-01-01",,2,"","","",2,3
"PO12F","pollo con champiñon familiar",585.0000,,"2001-01-01",,2,"","","",2,0
"PO12N","pollo con champiñon normal",450.0000,,"2001-01-01",,2,"","","",2,0
"PO12P","pollo personal con champiñon",275.0000,0,"2001-01-01",,2,"","","",2,0
"PO12PQ","pollo champiñon pequeño",200.0000,,"2001-01-01",,2,"","","",2,0
"PO1F","pollo familiar vegetal",385.0000,-2,"2001-01-01",,2,"","","",2,3
"PO1N","pollo normal vegetal",285.0000,0,"2001-01-01",,2,"","","",2,3
"PO1P","Pollo personal vegetal",175.0000,0,"2001-01-01",,2,"","","",2,3
"PO1PQ","Pollo pequeño veg",130.0000,-1,"2001-01-01",,2,"","","",2,3
"PO2F","pollo familiar cebolla",385.0000,,"2001-01-01",,2,"","","",2,3
"PO2N","pollo normal cebolla",285.0000,,"2001-01-01",,2,"","","",2,3
"PO2P","pollo personal cebolla",175.0000,0,"2001-01-01",,2,"","","",2,3
"PO2PQ","pollo pequeño cebolla",130.0000,0,"2001-01-01",,2,"","","",2,3
"PO3F","pollo familiar brocoli",385.0000,0,"2001-01-01",,2,"","","",2,3
"PO3N","pollo normal brocoli",285.0000,0,"2001-01-01",,2,"","","",2,3
"PO3P","pollo personal brocoli",175.0000,0,"2001-01-01",,2,"","","",2,3
"PO3PQ","pollo pequeño brocoli",130.0000,-1,"2001-01-01",,2,"","","",2,3
"PO4F","pollo familiar curry",385.0000,,"2001-01-01",,2,"","","",2,3
"PO4N","pollo normal curry",285.0000,0,"2001-01-01",,2,"","","",2,3
"PO4P","pollo personal curry",175.0000,0,"2001-01-01",,2,"","","",2,3
"PO4PQ","pollo pequeño curry",130.0000,0,"2001-01-01",,2,"","","",2,3
"PO5F","pollo familiar tomate",385.0000,,"2001-01-01",,2,"","","",2,3
"PO5N","pollo normal tomate",285.0000,0,"2001-01-01",,2,"","","",2,3
"PO5P","pollo personal tomate",175.0000,0,"2001-01-01",,2,"","","",2,3
"PO5PQ","pollo pequeño tomate",130.0000,0,"2001-01-01",,2,"","","",2,3
"PO6F","pollo familiar chile verde",385.0000,,"2001-01-01",,2,"","","",2,3
"PO6N","pollo normal chile verde",285.0000,,"2001-01-01",,2,"","","",2,3
"PO6P","pollo personal chile verde",175.0000,0,"2001-01-01",,2,"","","",2,3
"PO6PQ","pollo pequeño chile verde",130.0000,0,"2001-01-01",,2,"","","",2,3
"PO7F","pollo familiar jalapeño",385.0000,0,"2001-01-01",,2,"","","",2,3
"PO7N","pollo normal jalapeño",285.0000,0,"2001-01-01",,2,"","","",2,3
"PO7P","pollo personal jalapeño",175.0000,0,"2001-01-01",,2,"","","",2,3
"PO7PQ","pollo pequeño jalapeño",130.0000,0,"2001-01-01",,2,"","","",2,3
"PO8F","pollo familiar agridulce",385.0000,0,"2001-01-01",,2,"","","",2,3
"PO8N","pollo normal agridulce",285.0000,0,"2001-01-01",,2,"","","",2,3
"PO8P","pollo personal agridulce",175.0000,0,"2001-01-01",,2,"","","",2,3
"PO8PQ","pollo pequeño agridulce",130.0000,0,"2001-01-01",,2,"","","",2,3
"PO9F","Pollo familiar marañon",585.0000,0,"2001-01-01",,2,"","","",2,3
"PO9N","Pollo normal marañon",450.0000,0,"2001-01-01",,2,"","","",2,3
"PO9P","Pollo personal marañon",275.0000,0,"2001-01-01",,2,"","","",2,3
"PO9PQ","Pollo pequeño marañon",200.0000,-1,"2001-01-01",,2,"","","",2,3
"PPOP","pizza pollo promocion",99.0000,-6,"2001-01-01",,4,"","","",2,0
"PPP","pizza peperoni promocion",99.0000,-13,"2001-01-01",,4,"","","",2,0
"PPROP","pizza pollo promocion",99.0000,0,"2001-01-01",,4,"","","",2,0
"PR12","pechu ricas 12 unid",190.0000,,"2001-01-01",,4,"","","",2,0
"PR6","pechu ricas 6 unid",125.0000,,"2001-01-01",,4,"","","",2,0
"PR9","pechu ricas 9 unid",150.0000,,"2001-01-01",,4,"","","",2,0
"PRUEBA","prueba",0.0000,0,"1000-01-01",0,1,"","","",2,0
"PTTF","plato tallarin tostado familiar",200.0000,,"2001-01-01",,2,"","","",2,0
"PTTN","plato tallarin tostado normal",140.0000,0,"2001-01-01",,2,"","","",2,0
"PTTP","plato tallarin tostado personal",80.0000,0,"2001-01-01",,2,"","","",2,0
"PTTPQ","plato tallarin tostado pequeño",60.0000,0,"2001-01-01",,2,"","","",2,0
"PV","portroyal vidrio",40.0000,-71,"2001-01-01",,2,"","","",2,3
"PYT","platos y tenedores",2.0000,-564,"2001-01-01",,2,"","","",2,3
"PYV","platos y vasos",2.0000,-33,"1000-01-01",0,1,"","","",2,0
"RE10F","Res familiar hongo chino",735.0000,,"2001-01-01",,2,"","","",2,3
"RE10N","Res normal hongo chino",530.0000,,"2001-01-01",,2,"","","",2,3
"RE10P","Res personal hongo chino",370.0000,,"2001-01-01",,2,"","","",2,3
"RE10PQ","Res pequeño hongo chino",255.0000,,"2001-01-01",,2,"","","",2,3
"RE11F","Res familiar vegetal chino",735.0000,,"2001-01-01",,2,"","","",2,3
"RE11N","Res normal vegetal chino",530.0000,,"2001-01-01",,2,"","","",2,3
"RE11P","Res personal vegetal chino",370.0000,,"2001-01-01",,2,"","","",2,3
"RE11PQ","Res pequeño vegetal chino",255.0000,,"2001-01-01",,2,"","","",2,3
"RE12F","res con champiñon familiar",735.0000,,"2001-01-01",,2,"","","",2,0
"RE12N","Res con champiñon normal",530.0000,,"2001-01-01",,2,"","","",2,0
"RE12P","res con champiñon personal",370.0000,,"2001-01-01",,2,"","","",2,0
"RE12PQ","res con champiñon pequeño",255.0000,,"2001-01-01",,2,"","","",2,0
"RE1F","res vege famil salsa ostra",535.0000,0,"2001-01-01",,2,"","","",2,3
"RE1N","Res normal vegetal",380.0000,0,"2001-01-01",,2,"","","",2,3
"RE1P","Res Personal vegetal",255.0000,0,"2001-01-01",,2,"","","",2,3
"RE1PQ","Res  vegetal pequeño",155.0000,-1,"2001-01-01",,2,"","","",2,3
"RE2F","Res familiar cebolla",535.0000,,"2001-01-01",,2,"","","",2,3
"RE2N","Res normal cebolla",380.0000,,"2001-01-01",,2,"","","",2,3
"RE2P","Res personal cebolla",255.0000,,"2001-01-01",,2,"","","",2,3
"RE2PQ","res pequeño cebolla",155.0000,0,"2001-01-01",,2,"","","",2,3
"RE3F","Res familiar brocoli",535.0000,,"2001-01-01",,2,"","","",2,3
"RE3N","Res normal brocoli",380.0000,0,"2001-01-01",,2,"","","",2,3
"RE3P","Res personal brocoli",255.0000,0,"2001-01-01",,2,"","","",2,3
"RE3PQ","Res pequeño brocoli",155.0000,0,"2001-01-01",,2,"","","",2,3
"RE4F","Res familiar curry",535.0000,,"2001-01-01",,2,"","","",2,3
"RE4N","Res normal curry",380.0000,0,"2001-01-01",,2,"","","",2,3
"RE4P","Res personal curry",255.0000,,"2001-01-01",,2,"","","",2,3
"RE4PQ","Res pequeño curry",155.0000,,"2001-01-01",,2,"","","",2,3
"RE5F","Res familiar tomate",535.0000,,"2001-01-01",,2,"","","",2,3
"RE5N","Res normal tomate",380.0000,,"2001-01-01",,2,"","","",2,3
"RE5P","Res personal tomate",255.0000,,"2001-01-01",,2,"","","",2,3
"RE5PQ","Res pequeño tomate",155.0000,,"2001-01-01",,2,"","","",2,3
"RE6F","Res familiar chile verde",535.0000,,"2001-01-01",,2,"","","",2,3
"RE6N","Res normal chile verde",380.0000,,"2001-01-01",,2,"","","",2,3
"RE6P","Res personal chile verde",255.0000,,"2001-01-01",,2,"","","",2,3
"RE6PQ","Res pequeño chile verde",155.0000,,"2001-01-01",,2,"","","",2,3
"RE7F","Res familiar jalapeño",535.0000,,"2001-01-01",,2,"","","",2,3
"RE7N","Res normal jalapeño",380.0000,,"2001-01-01",,2,"","","",2,3
"RE7P","Res personal jalapeño",255.0000,,"2001-01-01",,2,"","","",2,3
"RE7PQ","Res pequeño jalapeño",155.0000,,"2001-01-01",,2,"","","",2,3
"RE8F","Res familiar agridulce",535.0000,,"2001-01-01",,2,"","","",2,3
"RE8N","Res normal agridulce",380.0000,,"2001-01-01",,2,"","","",2,3
"RE8P","Res personal agridulce",255.0000,,"2001-01-01",,2,"","","",2,3
"RE8PQ","Res pequeño agridulce",155.0000,1,"2001-01-01",,2,"","","",2,3
"RE9F","Res familiar marañon",735.0000,,"2001-01-01",,2,"","","",2,3
"RE9N","Res normal marañon",530.0000,,"2001-01-01",,2,"","","",2,3
"RE9P","Res personal marañon",370.0000,,"2001-01-01",,2,"","","",2,3
"RE9PQ","Res pequeño marañon",255.0000,0,"2001-01-01",,2,"","","",2,3
"S1.25C","sprite 1.25 comer",35.0000,0,"2001-01-01",,1,"","","",2,0
"S1.25G","sprite 1.25 gratis",,-1,"2001-01-01",,4,"","","",2,0
"S1.25L","sprite 1.25 llevar",27.0000,0,"2001-01-01",,4,"","","",2,0
"S2LC","sprite 2lts comer",50.0000,1,"2001-01-01",,2,"","","",2,3
"S2LL","sprite 2lts llevar",38.0000,0,"2001-01-01",,2,"","","",2,3
"S3LC","sprite 3 lts comer",65.0000,0,"2001-01-01",,4,"","","",2,0
"S3LL","sprite 3lts llevar",52.0000,0,"2001-01-01",,4,"","","",2,0
"SALDO","saldo",0.0000,0,"1000-01-01",0,1,"","","",2,0
"SD","sprite desechable",20.0000,0,"2001-01-01",,4,"","","",2,0
"SE","SOLO ENTREGAR",0.0000,0,"1000-01-01",0,1,"","","",2,0
"SL","salvavida lata",37.0000,,"2001-01-01",,2,"","","",1,3
"SS","salsas",0.0000,0,"1000-01-01",0,1,"","","",1,0
"SV","salvavida botella",35.0000,-300,"2001-01-01",,2,"","","",2,3
"SVL","salvavida lata",37.0000,,"2001-01-01",,2,"","","",2,3
"SWC","salsa para wantan cocido",30.0000,0,"2001-01-01",,2,"","","",2,0
"T","tenedor",1.0000,-676,"2001-01-01",,2,"","","",2,3
"T2","Orden de Tacos (2 Unids)",80.0000,-1,"2001-01-01",,2,"","","",2,3
"T4","Orden de Tacos (4 Unids)",145.0000,-19,"2001-01-01",,2,"","","",2,3
"TAB","taza arroz blanco",20.0000,-8,"2001-01-01",,1,"","","",2,0
"TAF","taza arroz frito",45.0000,-3,"2001-01-01",,1,"","","",2,0
"TC","te chino",20.0000,-5,"2001-01-01",,2,"","","",2,3
"TCL","te chino bolsita",15.0000,-1,"2001-01-01",,2,"","","",2,0
"TDE","taza de ensalada",45.0000,-2,"2001-01-01",,1,"","","",2,0
"TDTTN","taza tallarin tostado",140.0000,,"2001-01-01",,2,"","","",2,0
"TE","tiempo espera",,-7,"2001-01-01",,2,"","","",2,3
"TEST","test",100.0000,95,"2001-01-01",,1,"","","",2,1
"TEST2","test2",120.0000,-2,"2001-01-01",,2,"","","",2,3
"TEST2018","pruaba 2018",100.0000,,"2001-01-01",,2,"","","",2,0
"TPF","Taza de papas fritas",45.0000,0,"2001-01-01",,2,"","","",2,3
"TSA","",15.0000,,"2001-01-01",,2,"","","",2,0
"TSO","taza juguito chapsuy",50.0000,0,"2001-01-01",,1,"","","",2,0
"TT","taza tallarin",20.0000,0,"2001-01-01",,2,"","","",2,3
"TTTN","taza tallarin tostado normal",140.0000,,"2001-01-01",,1,"","","",2,0
"U1.25C","uva 1.25 comer ",35.0000,0,"2001-01-01",,4,"","","",2,0
"U1.25G","uva 1.25 gratis",,-1,"2001-01-01",,4,"","","",2,0
"U1.25L","uva 11.25 llevar",27.0000,0,"2001-01-01",,1,"","","",2,0
"U2L","uva 2lts llevar",38.0000,1,"2001-01-01",,2,"","","",1,3
"U2LC","uva 2lts comer",50.0000,-1,"2001-01-01",,2,"","","",2,3
"U2LL","uva 2lts llevar",38.0000,0,"2001-01-01",,2,"","","",2,3
"UD","uva desechable",20.0000,-2,"2001-01-01",,4,"","","",2,0
"VASOS","vasos",1.0000,-268,"2001-01-01",,2,"","","",2,0
"VYT","VASOS Y TENEDORES",2.0000,-8,"2001-01-01",,4,"","","",2,0
"W17","Orden de Wantan (17 Unids)",145.0000,-26,"2001-01-01",,2,"","","",2,3
"W17C","orden wtan cocido 17 und",195.0000,0,"2001-01-01",,2,"","","",2,0
"W9","Orden de wantan (9 Unids)",80.0000,-3,"2001-01-01",,2,"","","",2,3
"W9C","orden de wantan cocido 9 unidades",130.0000,0,"2001-01-01",,2,"","","",2,0
"WC13","wtan cocido 13uni",205.0000,0,"2001-01-01",,2,"","","",2,0
"WC17","wtan camaron 17uni",295.0000,0,"1000-01-01",0,1,"","","",2,0
"WC9","wtan camaron 9uni",165.0000,0,"1000-01-01",0,1,"","","",2,0
"WE","wantan extra",10.0000,-66,"2001-01-01",,2,"","","",2,0
"WP","orden wantan pollo (9unid)",80.0000,0,"2001-01-01",,2,"","","",2,0
"WP17","orden wtan pollo 17 unds",145.0000,,"2001-01-01",,2,"","","",2,0
"WP9","orden wantan pollo 9 und",80.0000,,"2001-01-01",,4,"","","",2,0
"Z12N","chapsuy palacio con caracol normal ",400.0000,,"2001-01-01",,2,"","","",2,3
